doc number,headline,doc length |D|,snippet,Doc path
1,ECONOMIC VIEW: EVEN AMID HI-TECH REVOLUTION EVOLUTION IS THENORM ,835,WASHINGTON _ The New Economy is on trial here along withMicrosoft Corp. Sure the company is the one in the dock.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981023.0251
2,Report: South African truth panel to condemn ANC,419,JOHANNESBURG South Africa (AP) _ A panel probing apartheid-eraabuses has accused the African National Congress of human rightsviolations including torture and bomb attacks the statebroadcaster said Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/APW19981026.0485
3,RECONCILING IN SOUTH AFRICA: NEXT UP FOR AMNESTY _ THEUNREPENTANT ,1196,JOHANNESBURG South Africa _ The deal that South Africa's Truthand Reconciliation Commission offered was simple enough: Confessyour crimes apply for amnesty and you will go free.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/NYT19981107.0056
4,U.S. SEES BROOKLYN CONNECTION TO EMBASSY BOMBINGS ,1883,NEW YORK _ Several months after the bombing of the World TradeCenter in February 1993 one of the suspects tried to bargain withfederal prosecutors in New York offering inside information aboutthe bomb plot in exchange for a lighter sentence. The deal never materialized and the defendant was eventuallyfound guilty and sentenced to life in prison.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981021.0378
5,More than 8000 confirmed for Asian Games,357,BANGKOK Thailand (AP) _ Thailand expects 39 countries regionsor organizations to send teams to the Asian Games but is stillwaiting for confirmation from Tajikistan Mongolia and aPalestinian team the games' organizers said Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981116.0496
6,Turkish government dumped in corruption anger,121,ANKARA Turkey (AP) _ Turkey's government collapsed Wednesdayafter losing a confidence vote in parliament over a corruptionscandal that tainted the prime minister with allegations of mobties.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981125.0544
7,RECONCILING IN SOUTH AFRICA: NEXT UP FOR AMNESTY _ THEUNREPENTANT ,1196,JOHANNESBURG South Africa _ The deal that South Africa's Truthand Reconciliation Commission offered was simple enough: Confessyour crimes apply for amnesty and you will go free.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/NYT19981107.0057
8,Palestinian airport opens; hailed as step toward statehood,889,DAHANIEH Gaza Strip (AP) _ Taking a major step towardstatehood the Palestinians on Tuesday inaugurated GazaInternational Airport their first gateway to the world withcheers tears and an outpouring of patriotism.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981124.0254
9,Turkey's Islamic party avoids confrontation over leading next,529,ANKARA Turkey (AP) _ The head of Turkey's pro-Islamic partysaid Thursday he would not insist on his rightful chance to leadTurkey's next government heading off a confrontation with themilitary that would only deepen the nation's political crisis.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981126.0707
10,GADHAFI WEIGHS DEAL FOR TWO BOMBING SUSPECTS ,1477,TRIPOLI Libya _ Outwardly at least nearly everything ondisplay in Libya these days seems calculated to project defiance. Posters plastered on downtown streets mock six years of U.N.sanctions hailing as heroes African leaders who have flown toLibya in violation of an international ban on air travel here. The new backdrop for state television broadcasts is now a map ofAfrica not the Arab world a slap at Arab neighbors accused ofbeing too timid to join Libya's quest to get the sanctions lifted. A sign affixed to the seaside Grand Hotel captures the spiritexactly if ungrammatically.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/NYT19981031.0088
11,Former drug cheat back in the swim of things,490,BANGKOK Thailand (AP) _ China's swim team will hit the water atthe Asian Games on Monday with a reminder of the darkest chapter inits story of drug shame.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981206.0201
